A	B	C	D	E	Yield
-	-	-	-	+	276.26
+	-	-	-	-	645.62
-	+	-	-	-	497.01
+	+	-	-	+	423.1
-	-	+	-	-	984.68
+	-	+	-	+	509.46
-	+	+	-	+	384.58
+	+	+	-	-	990.25
-	-	-	+	-	458.4
+	-	-	+	+	390.72
-	+	-	+	+	278.69
+	+	-	+	-	704.6
-	-	+	+	+	424.32
+	-	+	+	-	847.13
-	+	+	+	-	815.17
+	+	+	+	+	578.08
